frame,timestamp,person_id,vehicle_id,centroid_x,centroid_y,in_roi,dwell_time,history_len
178,5.91,3,4,160.8,200.0,False,0,0
179,5.94,3,4,162.2,199.4,False,0,0
180,5.97,3,4,163.6,198.8,False,0,0
181,6.01,3,4,166.2,193.9,False,0,0
182,6.04,3,4,167.9,192.9,False,0,0
183,6.07,3,4,169.4,190.8,False,0,0
184,6.11,3,4,171.2,188.1,False,0,0
186,6.17,3,5,94.8,276.2,False,0,0
186,6.17,4,5,114.5,274.9,False,0,0
187,6.21,3,5,104.4,275.8,False,0,0
187,6.21,4,5,117.5,273.1,False,0,0
187,6.21,6,5,76.4,261.3,False,0,0
188,6.24,3,5,112.9,275.5,False,0,0
188,6.24,4,5,120.2,271.8,False,0,0
188,6.24,6,5,80.8,261.7,False,0,0
189,6.27,3,5,125.9,273.5,False,0,0
189,6.27,4,5,122.8,270.0,False,0,0
189,6.27,6,5,83.5,261.7,False,0,0
189,6.27,7,5,100.1,272.5,False,0,0
190,6.31,3,5,132.0,271.7,False,0,0
190,6.31,4,5,125.4,268.2,False,0,0
190,6.31,6,5,95.1,256.5,False,0,0
190,6.31,7,5,106.7,273.1,False,0,0
191,6.34,3,5,138.4,269.9,False,0,0
191,6.34,4,5,128.9,265.8,False,0,0
191,6.34,6,5,102.9,254.0,False,0,0
191,6.34,7,5,112.4,269.3,False,0,0
192,6.37,3,5,141.3,265.1,False,0,0
192,6.37,4,5,131.8,261.5,False,0,0
192,6.37,6,5,108.7,250.0,False,0,0
192,6.37,7,5,119.5,263.5,False,0,0
193,6.41,3,5,152.1,264.9,False,0,0
193,6.41,4,5,137.6,260.7,False,0,0
193,6.41,6,5,117.2,250.8,False,0,0
193,6.41,7,5,126.2,262.4,False,0,0
194,6.44,3,5,161.9,261.0,False,0,0
194,6.44,4,5,144.7,257.1,False,0,0
194,6.44,6,5,127.2,247.8,False,0,0
194,6.44,7,5,135.9,258.7,False,0,0
195,6.47,3,5,170.6,256.7,False,0,0
195,6.47,4,5,150.0,252.8,False,0,0
195,6.47,6,5,135.3,244.0,False,0,0
195,6.47,7,5,144.2,254.8,False,0,0
196,6.51,3,4,176.7,252.4,False,0,0
196,6.51,6,5,142.0,242.0,False,0,0
196,6.51,7,5,149.4,253.5,False,0,0
197,6.54,3,5,176.7,252.7,False,0,0
197,6.54,6,5,146.2,240.1,False,0,0
197,6.54,7,5,155.3,251.2,False,0,0
198,6.57,3,5,182.7,251.2,False,0,0
198,6.57,6,5,152.6,238.2,False,0,0
198,6.57,7,5,159.3,248.9,False,0,0
199,6.61,3,5,188.4,249.5,False,0,0
199,6.61,6,5,159.0,236.2,False,0,0
199,6.61,7,5,165.3,247.0,False,0,0
200,6.64,3,5,195.4,248.5,False,0,0
200,6.64,6,5,165.4,234.3,False,0,0
200,6.64,7,5,170.9,245.4,False,0,0
201,6.67,3,5,198.6,246.2,False,0,0
201,6.67,6,5,171.8,232.3,False,0,0
201,6.67,7,5,175.8,243.5,False,0,0
202,6.71,3,5,204.8,246.1,False,0,0
202,6.71,6,5,178.2,230.4,False,0,0
202,6.71,7,5,180.9,241.6,False,0,0
203,6.74,3,5,207.9,243.1,False,0,0
203,6.74,6,5,184.6,228.4,False,0,0
203,6.74,7,5,185.2,240.3,False,0,0
204,6.77,3,5,211.9,240.6,False,0,0
204,6.77,6,5,191.0,226.5,False,0,0
204,6.77,7,5,190.4,238.7,False,0,0
205,6.81,3,5,215.9,237.7,True,0,0
205,6.81,6,5,197.4,224.5,False,0,0
205,6.81,7,5,194.5,235.9,False,0,0
206,6.84,3,5,219.9,236.2,True,0.03,1
206,6.84,6,5,203.7,222.6,True,0,0
